action	file	line	before	after	reason
CHANGED	src/components/ProductEditPageClient.tsx	493	Every cost line below contributes to the final cost price, GP percentage and suggested selling price. This is where VYRON turns operational detail into financia	Every cost line below contributes to the final cost price, GP percentage and suggested selling price. This is where VOLORA turns operational detail into financi	user-visible brand text
CHANGED	src/components/ProductIntelligenceClient.tsx	50	"Premium VYRON COST workflow for product intelligence."	"Premium VOLORA workflow for product intelligence."	user-visible brand text
CHANGED	src/components/ProductionIntelligenceClient.tsx	17	"Premium VYRON COST workflow for production intelligence."	"Premium VOLORA workflow for production intelligence."	user-visible brand text
CHANGED	src/components/ProductionPlanningClient.tsx	30	"Premium VYRON COST workflow for production planning."	"Premium VOLORA workflow for production planning."	user-visible brand text
CHANGED	src/components/ProductLaunchChecklistClient.tsx	30	"Premium VYRON COST workflow for product launch checklist."	"Premium VOLORA workflow for product launch checklist."	user-visible brand text
CHANGED	src/components/ProductProfitabilityCentreClient.tsx	51	"Premium VYRON COST workflow for product profitability centre."	"Premium VOLORA workflow for product profitability centre."	user-visible brand text
CHANGED	src/components/ProductProfitabilityClient.tsx	59	"Premium VYRON COST workflow for product profitability."	"Premium VOLORA workflow for product profitability."	user-visible brand text
CHANGED	src/components/PurchaseOrderBuilderClient.tsx	30	"Premium VYRON COST workflow for purchase order builder."	"Premium VOLORA workflow for purchase order builder."	user-visible brand text
CHANGED	src/components/PurchaseOrderFormClient.tsx	153	"Premium VYRON COST workflow for purchase order form."	"Premium VOLORA workflow for purchase order form."	user-visible brand text
CHANGED	src/components/PurchaseOrderIntelligenceClient.tsx	20	"Premium VYRON COST workflow for purchase order intelligence."	"Premium VOLORA workflow for purchase order intelligence."	user-visible brand text
CHANGED	src/components/PurchaseOrderListClient.tsx	30	"Premium VYRON COST workflow for purchase order list."	"Premium VOLORA workflow for purchase order list."	user-visible brand text
CHANGED	src/components/PurchaseOrdersClient.tsx	74	"Premium VYRON COST workflow for purchase orders."	"Premium VOLORA workflow for purchase orders."	user-visible brand text
CHANGED	src/components/PurchaseOrderSettingsClient.tsx	88	"Premium VYRON COST workflow for purchase order settings."	"Premium VOLORA workflow for purchase order settings."	user-visible brand text
CHANGED	src/components/pwa/PwaRuntime.tsx	171	"VYRON COST installed successfully."	"VOLORA installed successfully."	user-visible brand text
CHANGED	src/components/pwa/PwaRuntime.tsx	310	Install VYRON	Install VOLORA	user-visible brand text
CHANGED	src/components/RecipeCostDrilldownClient.tsx	27	"Premium VYRON COST workflow for recipe cost drilldown."	"Premium VOLORA workflow for recipe cost drilldown."	user-visible brand text
CHANGED	src/components/RecipeDetailClient.tsx	376	"Premium VYRON COST workflow for recipe detail."	"Premium VOLORA workflow for recipe detail."	user-visible brand text
CHANGED	src/components/RecipeEditPageClient.tsx	114	"Premium VYRON COST workflow for recipe edit page."	"Premium VOLORA workflow for recipe edit page."	user-visible brand text
CHANGED	src/components/RecoverableHeroCard.tsx	27	Recoverable With VYRON COST           	Recoverable With VOLORA           	user-visible brand text
CHANGED	src/components/RecoveryApprovalsClient.tsx	48	"Premium VYRON COST workflow for recovery approvals."	"Premium VOLORA workflow for recovery approvals."	user-visible brand text
CHANGED	src/components/RecoveryOpportunityDetailClient.tsx	30	"Premium VYRON COST workflow for recovery opportunity detail."	"Premium VOLORA workflow for recovery opportunity detail."	user-visible brand text
CHANGED	src/components/reports/ReportDocument.tsx	334	VYRON COST &middot; 	VOLORA &middot; 	user-visible brand text
CHANGED	src/components/SalesPriceListBuilderClient.tsx	53	"Premium VYRON COST workflow for sales price list builder."	"Premium VOLORA workflow for sales price list builder."	user-visible brand text
CHANGED	src/components/SavingsTrackerClient.tsx	35	"Premium VYRON COST workflow for savings tracker."	"Premium VOLORA workflow for savings tracker."	user-visible brand text
CHANGED	src/components/StockImpactSimulatorClient.tsx	25	"Premium VYRON COST workflow for stock impact simulator."	"Premium VOLORA workflow for stock impact simulator."	user-visible brand text
CHANGED	src/components/SupplierEditPageClient.tsx	128	VYRON COST principle	VOLORA principle	user-visible brand text
CHANGED	src/components/SupplierEditPageClient.tsx	207	VYRON Invoice Email             	VOLORA Invoice Email             	user-visible brand text
CHANGED	src/components/SupplierEditPageClient.tsx	261	Suppliers can forward invoices to the VYRON COST invoice email for future AI extraction.           	Suppliers can forward invoices to the VOLORA invoice email for future AI extraction.           	user-visible brand text
CHANGED	src/components/SupplierInvoiceListClient.tsx	18	"Premium VYRON COST workflow for supplier invoice list."	"Premium VOLORA workflow for supplier invoice list."	user-visible brand text
CHANGED	src/components/SupplierLearningClient.tsx	142	"Premium VYRON COST workflow for supplier learning."	"Premium VOLORA workflow for supplier learning."	user-visible brand text
CHANGED	src/components/SupplierLinkedIngredientsClient.tsx	61	"Premium VYRON COST workflow for supplier linked ingredients."	"Premium VOLORA workflow for supplier linked ingredients."	user-visible brand text
CHANGED	src/components/SupplierNegotiationPackClient.tsx	31	"Premium VYRON COST workflow for supplier negotiation pack."	"Premium VOLORA workflow for supplier negotiation pack."	user-visible brand text
CHANGED	src/components/SupplierProfileClient.tsx	37	"Premium VYRON COST workflow for supplier profile."	"Premium VOLORA workflow for supplier profile."	user-visible brand text
CHANGED	src/components/SupplierRegisterClient.tsx	157	"Premium VYRON COST workflow for supplier register."	"Premium VOLORA workflow for supplier register."	user-visible brand text
CHANGED	src/components/TrainingCentreClient.tsx	12	"Ask VYRON which products are below GP, which suppliers increased prices and what to do today."	"Ask VOLORA which products are below GP, which suppliers increased prices and what to do today."	user-visible brand text
CHANGED	src/components/TrainingCentreClient.tsx	17	"VYRON COST — Handcrafted Foods Demo Manual"	"VOLORA — Handcrafted Foods Demo Manual"	user-visible brand text
CHANGED	src/components/TrainingCentreClient.tsx	36	"Premium VYRON COST workflow for training centre."	"Premium VOLORA workflow for training centre."	user-visible brand text
CHANGED	src/components/TrainingManualClient.tsx	32	"Premium VYRON COST workflow for training manual."	"Premium VOLORA workflow for training manual."	user-visible brand text
CHANGED	src/components/TrainingManualClient.tsx	40	VYRON COST Training Manual	VOLORA Training Manual	user-visible brand text
CHANGED	src/components/UnitEconomicsDashboardClient.tsx	21	"Premium VYRON COST workflow for unit economics dashboard."	"Premium VOLORA workflow for unit economics dashboard."	user-visible brand text
CHANGED	src/components/vyron-core/VyronCoreCommandCentreClient.tsx	67	"VYRON CORE"	"VOLORA Core"	user-visible brand text
CHANGED	src/components/vyron-core/VyronCoreCommandCentreClient.tsx	102	VYRON CORE	VOLORA Core	user-visible brand text
CHANGED	src/components/vyron-core/VyronCoreForecastingClient.tsx	27	"VYRON CORE"	"VOLORA Core"	user-visible brand text
CHANGED	src/components/vyron-core/VyronCoreForecastingClient.tsx	41	VYRON CORE	VOLORA Core	user-visible brand text
CHANGED	src/components/vyron-core/VyronCoreSimulationClient.tsx	62	"VYRON CORE"	"VOLORA Core"	user-visible brand text
CHANGED	src/components/vyron-core/VyronCoreSimulationClient.tsx	76	VYRON CORE	VOLORA Core	user-visible brand text
CHANGED	src/components/vyron-cost/customers/CustomerInvoicesClient.tsx	441	"VYRON COST"	"VOLORA"	user-visible brand text
CHANGED	src/components/vyron-cost/customers/CustomerInvoicesClient.tsx	1106	} as Sent?\n\nOnly do this if you have already sent it to the customer yourself. VYRON COST has not emailed it.`	} as Sent?\n\nOnly do this if you have already sent it to the customer yourself. VOLORA has not emailed it.`	user-visible brand text
CHANGED	src/components/vyron-cost/customers/CustomersClient.tsx	300	"Customer master, invoice routing, payment terms, revenue history and GP movement — the commercial front door of VYRON COST."	"Customer master, invoice routing, payment terms, revenue history and GP movement — the commercial front door of VOLORA."	user-visible brand text
CHANGED	src/components/vyron-cost/customers/CustomerStatementsClient.tsx	103	"Statements from VYRON COST keep a consistent commercial record."	"Statements from VOLORA keep a consistent commercial record."	user-visible brand text
CHANGED	src/components/vyron-cost/developer/DeveloperClient.tsx	1287	"High-level overview of VYRON COST client workspaces and platform control."	"High-level overview of VOLORA client workspaces and platform control."	user-visible brand text
CHANGED	src/components/vyron-cost/developer/DeveloperClient.tsx	1338	"Return to the active VYRON COST tenant view"	"Return to the active VOLORA tenant view"	user-visible brand text
CHANGED	src/components/vyron-cost/developer/DeveloperClient.tsx	1417	"Search and manage existing VYRON COST client workspaces."	"Search and manage existing VOLORA client workspaces."	user-visible brand text
CHANGED	src/components/vyron-cost/developer/DeveloperClient.tsx	1794	"Create and onboard a new VYRON COST client workspace."	"Create and onboard a new VOLORA client workspace."	user-visible brand text
CHANGED	src/components/vyron-cost/developer/DeveloperManageUsersClient.tsx	366	"Premium VYRON COST workflow for developer manage users."	"Premium VOLORA workflow for developer manage users."	user-visible brand text
CHANGED	src/components/vyron-cost/developer/DeveloperShell.tsx	43	"Back to VYRON COST App"	"Back to VOLORA App"	user-visible brand text
CHANGED	src/components/vyron-cost/developer/DeveloperShell.tsx	148	Back to VYRON COST App	Back to VOLORA App	user-visible brand text
CHANGED	src/components/vyron-cost/integrations/XeroIntegrationClient.tsx	704	Connect VYRON COST to Xero once an active company workspace is selected.               	Connect VOLORA to Xero once an active company workspace is selected.               	user-visible brand text
CHANGED	src/components/vyron-cost/integrations/XeroIntegrationClient.tsx	817	Connect VYRON COST to Xero for accounting-ready customers, suppliers, invoices, purchase bills and sync                 audit visibility.               	Connect VOLORA to Xero for accounting-ready customers, suppliers, invoices, purchase bills and sync                 audit visibility.               	user-visible brand text
CHANGED	src/components/vyron-cost/integrations/XeroSetupClient.tsx	193	VYRON COST sends approved accounting-ready transactions to Xero. Xero remains the ledger.             	VOLORA sends approved accounting-ready transactions to Xero. Xero remains the ledger.             	user-visible brand text
CHANGED	src/components/vyron-cost/integrations/XeroSyncCentreClient.tsx	166	Approved VYRON COST transactions waiting for Xero ledger posting.             	Approved VOLORA transactions waiting for Xero ledger posting.             	user-visible brand text
CHANGED	src/components/vyron-cost/intelligence/CostIntelligenceCentreClient.tsx	188	Load products, BOM links, supplier costs and target GP so VYRON COST can analyse margin pressure.           	Load products, BOM links, supplier costs and target GP so VOLORA can analyse margin pressure.           	user-visible brand text
CHANGED	src/components/vyron-cost/ModulePageShell.tsx	50	"Drill into linked VYRON COST modules"	"Drill into linked VOLORA modules"	user-visible brand text
CHANGED	src/components/vyron-finance/CfoAssistantClient.tsx	33	"Premium VYRON COST workflow for cfo assistant."	"Premium VOLORA workflow for cfo assistant."	user-visible brand text
CHANGED	src/components/vyron-finance/FinanceImportsClient.tsx	48	"Premium VYRON COST workflow for finance imports."	"Premium VOLORA workflow for finance imports."	user-visible brand text
CHANGED	src/components/vyron-finance/FinanceStatementsClient.tsx	19	"Premium VYRON COST workflow for finance statements."	"Premium VOLORA workflow for finance statements."	user-visible brand text
CHANGED	src/components/vyron-finance/ManagementAccountsClient.tsx	13	"Premium VYRON COST workflow for management accounts."	"Premium VOLORA workflow for management accounts."	user-visible brand text
CHANGED	src/components/vyron-finance/VyronFinanceHubClient.tsx	15	"Vyron Finance Hub"	"VOLORA Finance Hub"	user-visible brand text
CHANGED	src/components/vyron-finance/VyronFinanceHubClient.tsx	16	"Premium VYRON COST workflow for vyron finance hub."	"Premium VOLORA workflow for vyron finance hub."	user-visible brand text
CHANGED	src/components/vyron-finance/VyronFinanceHubClient.tsx	22	VYRON FINANCE Intelligence Layer	VOLORA Finance Intelligence Layer	user-visible brand text
CHANGED	src/components/vyron-finance/VyronFinanceHubClient.tsx	25	Overall financial health · feeds VYRON FINANCE	Overall financial health · feeds VOLORA Finance	user-visible brand text
CHANGED	src/components/vyron-finance/VyronFinanceModuleClients.tsx	184	VYRON COST intelligence scores (feeds FINANCE)	VOLORA intelligence scores (feeds FINANCE)	user-visible brand text
CHANGED	src/components/vyron-finance/VyronFinanceModuleClients.tsx	235	Shared entity architecture from VYRON COST — integration ready: 	Shared entity architecture from VOLORA — integration ready: 	user-visible brand text
CHANGED	src/components/vyron-finance/VyronFinanceShared.tsx	76	"VYRON FINANCE"	"VOLORA Finance"	user-visible brand text
CHANGED	src/components/vyron-mobile/VyronMobileShell.tsx	105	"VYRON COST"	"VOLORA"	user-visible brand text
CHANGED	src/components/vyron-mobile/VyronMobileShell.tsx	334	"VYRON COST"	"VOLORA"	user-visible brand text
CHANGED	src/components/vyron-order/CustomerPortalAccessClient.tsx	184	VYRON ORDER               	VOLORA Order               	user-visible brand text
CHANGED	src/components/vyron-order/CustomerPortalAccessClient.tsx	191	Manage which customers can access VYRON ORDER.               	Manage which customers can access VOLORA Order.               	user-visible brand text
CHANGED	src/components/vyron-order/CustomerPortalAccessClient.tsx	422	Cannot sign in to VYRON ORDER yet	Cannot sign in to VOLORA Order yet	user-visible brand text
CHANGED	src/components/vyron-order/OrderCentreClient.tsx	136	VYRON ORDER               	VOLORA Order               	user-visible brand text
CHANGED	src/components/vyron-order/OrderCentreClient.tsx	146	Customer orders, live from the VYRON COST sales-order engine.               	Customer orders, live from the VOLORA sales-order engine.               	user-visible brand text
CHANGED	src/components/vyron-order/OrderCentreClient.tsx	257	Customer orders placed through VYRON ORDER arrive here the moment they are submitted.           	Customer orders placed through VOLORA Order arrive here the moment they are submitted.           	user-visible brand text
CHANGED	src/components/vyron-order/StaffNotificationBell.tsx	179	Open VYRON ORDER CENTRE           	Open VOLORA Order Centre           	user-visible brand text
CHANGED	src/components/vyron-order/VyronOrderInstall.tsx	123	"Install VYRON ORDER"	"Install VOLORA Order"	user-visible brand text
CHANGED	src/components/vyron-order/VyronOrderInstall.tsx	134	VYRON	VOLORA	user-visible brand text
CHANGED	src/components/vyron-order/VyronOrderInstall.tsx	152	VYRON ORDER is installed on this device.           	VOLORA Order is installed on this device.           	user-visible brand text
CHANGED	src/components/vyron-order/VyronOrderInstall.tsx	174	Tap Add — it appears as VYRON ORDER	Tap Add — it appears as VOLORA Order	user-visible brand text
CHANGED	src/components/vyron-order/VyronOrderInstall.tsx	193	"Install VYRON ORDER"	"Install VOLORA Order"	user-visible brand text
CHANGED	src/components/vyron-order/VyronOrderPortalClient.tsx	278	Loading VYRON ORDER…	Loading VOLORA Order…	user-visible brand text
CHANGED	src/components/vyron-order/VyronOrderShell.tsx	72	VYRON	VOLORA	user-visible brand text
CHANGED	src/components/vyron-order/VyronOrderShell.tsx	167	VYRON	VOLORA	user-visible brand text
CHANGED	src/components/vyron-order/VyronOrderShell.tsx	175	Powered by VYRON COST       	Powered by VOLORA       	user-visible brand text
CHANGED	src/components/vyron-order-engine/OrderIntakeCreateClient.tsx	110	Record the order exactly as the customer sent it. VYRON then matches the customer and products by exact identifiers only — anything it           cannot match w	Record the order exactly as the customer sent it. VOLORA then matches the customer and products by exact identifiers only — anything it           cannot match 	user-visible brand text
CHANGED	src/components/vyron-order-engine/OrderIntakeDetailClient.tsx	346	line(s): no product cost in VYRON.	line(s): no product cost in VOLORA.	user-visible brand text
CHANGED	src/components/vyron-order-engine/OrderIntakeDetailClient.tsx	452	From here the existing VYRON workflow takes over: approval and stock reservation, picking, dispatch and invoicing in Sales Orders and the Order                 	From here the existing VOLORA workflow takes over: approval and stock reservation, picking, dispatch and invoicing in Sales Orders and the Order                	user-visible brand text
CHANGED	src/components/vyron-order-engine/OrderIntakeDetailClient.tsx	512	"Customer in VYRON"	"Customer in VOLORA"	user-visible brand text
CHANGED	src/components/vyron-order-engine/OrderIntakeDetailClient.tsx	613	VYRON product	VOLORA product	user-visible brand text
CHANGED	src/components/vyron-order-engine/OrderIntakeDetailClient.tsx	691	"Blank = VYRON price"	"Blank = VOLORA price"	user-visible brand text
CHANGED	src/components/vyron-platform/ExportCentreDialog.tsx	124	VYRON COST standard reusable Export Centre.	VOLORA standard reusable Export Centre.	user-visible brand text
CHANGED	src/components/vyron-premium/VyronPremiumPageShell.tsx	90	"Premium VYRON COST Workspace"	"Premium VOLORA Workspace"	user-visible brand text
CHANGED	src/components/VyronCostAiShellClient.tsx	113	"Back to VYRON COST App"	"Back to VOLORA App"	user-visible brand text
CHANGED	src/components/VyronCostAiShellClient.tsx	596	Back to VYRON COST App	Back to VOLORA App	user-visible brand text
CHANGED	src/components/VyronCostAiStyleDashboard.tsx	39	Ask VYRON AI anything...	Ask VOLORA AI anything...	user-visible brand text
CHANGED	src/components/VyronCostAiStyleDashboard.tsx	182	VYRON AI Assistant	VOLORA AI Assistant	user-visible brand text
CHANGED	src/components/VyronCostSidebar.tsx	43	VYRON COST	VOLORA	user-visible brand text
CHANGED	src/components/VyronLandingPage.tsx	57	VYRON COST	VOLORA	user-visible brand text
CHANGED	src/components/VyronLandingPage.tsx	93	VYRON COST               	VOLORA               	user-visible brand text
CHANGED	src/components/VyronLandingPage.tsx	98	VYRON COST is built for food manufacturers, multi-site producers and finance teams who need live BOM               costing, supplier intelligence, invoice and P	VOLORA is built for food manufacturers, multi-site producers and finance teams who need live BOM               costing, supplier intelligence, invoice and PO co	user-visible brand text
CHANGED	src/components/VyronLandingPage.tsx	126	What VYRON COST does	What VOLORA does	user-visible brand text
CHANGED	src/components/VyronLandingPage.tsx	181	Live costing intelligence · powered by VYRON COST	Live costing intelligence · powered by VOLORA	user-visible brand text
CHANGED	src/components/VyronLandingPage.tsx	191	Email invoices and purchase orders directly to VYRON COST and let AI extract, match and flag risks.           	Email invoices and purchase orders directly to VOLORA and let AI extract, match and flag risks.           	user-visible brand text
CHANGED	src/components/VyronLandingPage.tsx	218	Handcrafted Food Products · powered by VYRON COST       	Handcrafted Food Products · powered by VOLORA       	user-visible brand text
CHANGED	src/components/VyronPublicLandingPage.tsx	234	Open VYRON COST             	Open VOLORA             	user-visible brand text
CHANGED	src/components/VyronPublicLandingPage.tsx	245	VYRON COST           	VOLORA           	user-visible brand text
CHANGED	src/components/VyronPublicLandingPage.tsx	262	Open VYRON COST 	Open VOLORA 	user-visible brand text
CHANGED	src/components/VyronPublicLandingPage.tsx	474	VYRON COST is an AI cost intelligence, procurement control and inventory accuracy platform — Xero-ready for               finance teams who need truth in margin	VOLORA is an AI cost intelligence, procurement control and inventory accuracy platform — Xero-ready for               finance teams who need truth in margin, no	user-visible brand text
CHANGED	src/components/VyronPublicLandingPage.tsx	638	Join manufacturers and multi-site operators using VYRON COST for AI cost intelligence, procurement control               and finished goods profitability.      	Join manufacturers and multi-site operators using VOLORA for AI cost intelligence, procurement control               and finished goods profitability.          	user-visible brand text
CHANGED	src/components/VyronPublicLandingPage.tsx	646	Start VYRON COST 	Start VOLORA 	user-visible brand text
CHANGED	src/components/VyronPublicLandingPage.tsx	659	VYRON COST — AI Cost Intelligence Platform	VOLORA — AI Cost Intelligence Platform	user-visible brand text
CHANGED	src/components/WasteControlCentreClient.tsx	17	"Premium VYRON COST workflow for waste control centre."	"Premium VOLORA workflow for waste control centre."	user-visible brand text
CHANGED	src/components/WhatIfSimulatorClient.tsx	12	"Premium VYRON COST workflow for what if simulator."	"Premium VOLORA workflow for what if simulator."	user-visible brand text
CHANGED	src/components/WorkspaceAccessDenied.tsx	20	You do not have permission to access this area of VYRON COST.         	You do not have permission to access this area of VOLORA.         	user-visible brand text
CHANGED	src/components/YieldEngineAdvancedClient.tsx	37	"Premium VYRON COST workflow for yield engine advanced."	"Premium VOLORA workflow for yield engine advanced."	user-visible brand text
KEPT	src/lib/data-migration/food-sock-execute.ts	380	"Cost is not resolved; not written (VYRON would store 0)."		Food Sock migration technical text (safety-tested; historical technical reference)
KEPT	src/lib/data-migration/food-sock-execute.ts	421	"Selling price is not resolved; not written (VYRON would store 0)."		Food Sock migration technical text (safety-tested; historical technical reference)
KEPT	src/lib/data-migration/food-sock-plan.ts	168	"none — VYRON has no product image field; deferred"		Food Sock migration technical text (safety-tested; historical technical reference)
KEPT	src/lib/data-migration/food-sock-plan.ts	447	"No Food Sock tenant exists. It must be created through the VYRON admin flow (createClientWorkspace) once the name and owner are approved; nothing below is writ		Food Sock migration technical text (safety-tested; historical technical reference)
KEPT	src/lib/data-migration/food-sock-plan.ts	555	} decimals; VYRON would round it.`		Food Sock migration technical text (safety-tested; historical technical reference)
KEPT	src/lib/data-migration/food-sock-plan.ts	583	"Not written: VYRON would store its cost as 0. Supply the cost first."		Food Sock migration technical text (safety-tested; historical technical reference)
KEPT	src/lib/data-migration/food-sock-plan.ts	642	"Not written: VYRON would store the selling price as 0. Supply the price and its VAT basis first."		Food Sock migration technical text (safety-tested; historical technical reference)
KEPT	src/lib/data-migration/food-sock-plan.ts	744	"VYRON has no product image field and the URL is an inFlow-hosted file; the association is recorded, nothing is written."		Food Sock migration technical text (safety-tested; historical technical reference)
KEPT	src/lib/data-migration/food-sock-plan.ts	844	} decimals; VYRON would round it.`		Food Sock migration technical text (safety-tested; historical technical reference)
KEPT	src/lib/data-migration/food-sock-plan.ts	869	"Its components are finished goods. VYRON production explodes sub-BOMs down to raw materials, so a bundle would consume ingredients instead of the finished pack		Food Sock migration technical text (safety-tested; historical technical reference)
KEPT	src/lib/data-migration/food-sock-plan.ts	1019	} decimals; VYRON stores ${		Food Sock migration technical text (safety-tested; historical technical reference)
KEPT	src/lib/document-intelligence-v2/supplier-invoice-extractor.ts	24	"You are VYRON CORE Supplier Invoice Extraction V2."		invoice extraction AI prompt — subsystem frozen
KEPT	src/lib/order-engine/demo/fixtures.ts	170	"PRICE_FROM_VYRON"		no brand token (identifier / demo company name / Vyronsoft)
CHANGED	src/lib/order-engine/demo/fixtures.ts	175	"Bay Street Deli asks for a lamb pie VYRON does not make — nothing is guessed."	"Bay Street Deli asks for a lamb pie VOLORA does not make — nothing is guessed."	user-visible brand text
CHANGED	src/lib/order-engine/demo/fixtures.ts	182	"Bay Street Deli's order states R30 for beef pies; VYRON's price is R38."	"Bay Street Deli's order states R30 for beef pies; VOLORA's price is R38."	user-visible brand text
CHANGED	src/lib/order-engine/demo/fixtures.ts	324	"An order states its VAT; VYRON records it and the sales order applies the workspace VAT rate."	"An order states its VAT; VOLORA records it and the sales order applies the workspace VAT rate."	user-visible brand text
CHANGED	src/lib/order-engine/demo/fixtures.ts	335	"Product with no cost in VYRON"	"Product with no cost in VOLORA"	user-visible brand text
CHANGED	src/lib/order-engine/demo/fixtures.ts	357	"Two tarts carry the same SKU in VYRON's master data — the engine lists both and asks."	"Two tarts carry the same SKU in VOLORA's master data — the engine lists both and asks."	user-visible brand text
CHANGED	src/lib/order-engine/issue-catalog.ts	43	"Price differs from VYRON's price"	"Price differs from VOLORA's price"	user-visible brand text
KEPT	src/lib/order-engine/issue-catalog.ts	44	"PRICE_FROM_VYRON"		no brand token (identifier / demo company name / Vyronsoft)
CHANGED	src/lib/order-engine/issue-catalog.ts	44	"Price taken from VYRON"	"Price taken from VOLORA"	user-visible brand text
CHANGED	src/lib/order-engine/issue-catalog.ts	50	"None — some products have no cost in VYRON."	"None — some products have no cost in VOLORA."	user-visible brand text
CHANGED	src/lib/order-engine/validation.ts	200	"No price on the order and no customer or standard price in VYRON."	"No price on the order and no customer or standard price in VOLORA."	user-visible brand text
KEPT	src/lib/order-engine/validation.ts	223	"PRICE_FROM_VYRON"		no brand token (identifier / demo company name / Vyronsoft)
CHANGED	src/lib/order-engine/validation.ts	291	} line(s): no product cost in VYRON.`	} line(s): no product cost in VOLORA.`	user-visible brand text
KEPT	src/lib/platform/branding/BrandingRepository.ts	66	"VYRON Client"		tenant document-branding default (tenant data)
CHANGED	src/lib/platform/documents/document-email-content.ts	130	"VYRON COST"	"VOLORA"	user-visible brand text
CHANGED	src/lib/platform/documents/document-email-content.ts	138	"VYRON COST"	"VOLORA"	user-visible brand text
CHANGED	src/lib/platform/documents/vyron-document-pdf-engine.ts	151	"VYRON COST"	"VOLORA"	user-visible brand text
CHANGED	src/lib/platform/entitlement/EntitlementService.ts	244	"Unknown VYRON product."	"Unknown VOLORA product."	user-visible brand text
CHANGED	src/lib/vyron-ai-assistant.ts	296	"VYRON analysed your live costing data and surfaced the highest-impact actions."	"VOLORA analysed your live costing data and surfaced the highest-impact actions."	user-visible brand text
KEPT	src/lib/vyron-approval-data.ts	93	"VYRON COST"		requested_by value written to the approvals table (data)
CHANGED	src/lib/vyron-ask-vyron.ts	268	"VYRON needs more operational data to answer this properly."	"VOLORA needs more operational data to answer this properly."	user-visible brand text
CHANGED	src/lib/vyron-ask-vyron.ts	309	"Ask VYRON guidance"	"Ask VOLORA guidance"	user-visible brand text
CHANGED	src/lib/vyron-ask-vyron.ts	899	"Select an active workspace before asking VYRON business questions."	"Select an active workspace before asking VOLORA business questions."	user-visible brand text
CHANGED	src/lib/vyron-ask-vyron.ts	900	"Ask VYRON answers from the active company workspace only — no default tenant fallback."	"Ask VOLORA answers from the active company workspace only — no default tenant fallback."	user-visible brand text
CHANGED	src/lib/vyron-board-pack-export.ts	29	"VYRON COST"	"VOLORA"	user-visible brand text
CHANGED	src/lib/vyron-board-pack-export.ts	179	"VYRON COST BOARD PACK"	"VOLORA BOARD PACK"	user-visible brand text
KEPT	src/lib/vyron-document-extraction.ts	1166	`You are VYRON COST Document AI Engine. Extract the COMPLETE contents of this supplier invoice from the document image/PDF. Read the visual document only — ne		invoice extraction AI prompt — subsystem frozen
KEPT	src/lib/vyron-enterprise-data.ts	262	"VYRON AI"		seeded demo data values
KEPT	src/lib/vyron-enterprise-platform-architecture.ts	200	"Vyron Foods Group"		no brand token (identifier / demo company name / Vyronsoft)
CHANGED	src/lib/vyron-enterprise-platform-architecture.ts	522	"VYRON FINANCE Intelligence"	"VOLORA Finance Intelligence"	user-visible brand text
CHANGED	src/lib/vyron-enterprise-platform-architecture.ts	820	"VYRON COST"	"VOLORA"	user-visible brand text
CHANGED	src/lib/vyron-enterprise-platform-architecture.ts	821	"VYRON FINANCE"	"VOLORA Finance"	user-visible brand text
CHANGED	src/lib/vyron-enterprise-platform-architecture.ts	822	"VYRON PAY"	"VOLORA Pay"	user-visible brand text
CHANGED	src/lib/vyron-enterprise-platform-architecture.ts	823	"VYRON CORE"	"VOLORA Core"	user-visible brand text
CHANGED	src/lib/vyron-enterprise-platform-architecture.ts	824	"VYRON MAINT"	"VOLORA Maint"	user-visible brand text
CHANGED	src/lib/vyron-enterprise-platform-architecture.ts	825	"VYRON FARM"	"VOLORA Farm"	user-visible brand text
KEPT	src/lib/vyron-enterprise-platform-architecture.ts	852	"Vyron Foods Group"		no brand token (identifier / demo company name / Vyronsoft)
KEPT	src/lib/vyron-enterprise-platform-architecture.ts	858	"Vyron Foods Group"		no brand token (identifier / demo company name / Vyronsoft)
CHANGED	src/lib/vyron-export-centre.ts	57	"VYRON COST"	"VOLORA"	user-visible brand text
CHANGED	src/lib/vyron-finance-intelligence-layer.ts	793	"VYRON FINANCE"	"VOLORA Finance"	user-visible brand text
CHANGED	src/lib/vyron-import-centre.ts	59	"Map accounting item codes to existing VYRON products"	"Map accounting item codes to existing VOLORA products"	user-visible brand text
CHANGED	src/lib/vyron-import-centre.ts	64	"One row maps one accounting item code to one existing VYRON product."	"One row maps one accounting item code to one existing VOLORA product."	user-visible brand text
CHANGED	src/lib/vyron-import-centre.ts	91	"VYRON standard customer invoice format — one row per invoice line"	"VOLORA standard customer invoice format — one row per invoice line"	user-visible brand text
CHANGED	src/lib/vyron-import-centre.ts	146	"VYRON resolves item_code to a product using the company-specific Product Mapping."	"VOLORA resolves item_code to a product using the company-specific Product Mapping."	user-visible brand text
CHANGED	src/lib/vyron-import-centre.ts	152	"VYRON standard supplier invoice format — one row per invoice line"	"VOLORA standard supplier invoice format — one row per invoice line"	user-visible brand text
CHANGED	src/lib/vyron-navigation.ts	185	"Ask VYRON"	"Ask VOLORA"	user-visible brand text
CHANGED	src/lib/vyron-ops-scan-validation.ts	138	"Barcode not recognised in VYRON COST inventory."	"Barcode not recognised in VOLORA inventory."	user-visible brand text
CHANGED	src/lib/vyron-order-notifications.ts	380	} — VYRON ORDER`	} — VOLORA Order`	user-visible brand text
